as_on_date,unique_id,ngo_name,ngo_email,state_of_registration,registered_district,registered_subdistrict,type_of_ngo,registration_authority,registration_number,act_name,date_of_registration,sectors,operational_district,operational_state,source_url
2026-09-16,DARPAN_865416,Jan Kalyan Foundation National (Raigad),contact@jankalyanfou.org,Maharashtra,Nashik,Nashik Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/564/1998/6067,"Indian Trusts Act, 1882",2014-03-04,Nutrition & Food Security,Raigad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_865416
2026-09-16,DARPAN_342716,Sneha Sansthan Gramin,contact@snehasanstha.org,Rajasthan,Jaipur,Jaipur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/197/2003/7461,"Companies Act, 2013",2024-07-22,"Disaster Relief & Rehabilitation, Environment & Forests, Skill Development & Livelihood",Jaipur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_342716
2026-09-16,DARPAN_342716,Sneha Sansthan Gramin (Kota),contact@snehasanstha.org,Rajasthan,Jaipur,Jaipur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/197/2003/7461,"Companies Act, 2013",2024-07-22,"Disaster Relief & Rehabilitation, Environment & Forests, Skill Development & Livelihood",Kota,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_342716
2026-09-16,DARPAN_342716,Sneha Sansthan Gramin (Jodhpur),contact@snehasanstha.org,Rajasthan,Jaipur,Jaipur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/197/2003/7461,"Companies Act, 2013",2024-07-22,"Disaster Relief & Rehabilitation, Environment & Forests, Skill Development & Livelihood",Jodhpur,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_342716
2026-09-16,DARPAN_296242,Gramin Association Seva,contact@graminassoci.org,Karnataka,Bengaluru Urban,Bengaluru Urban Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/734/2010/5835,"Companies Act, 2013",2012-08-02,Women Empowerment,Bengaluru Urban,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_296242
2026-09-16,DARPAN_296242,Gramin Association Seva (Mangaluru),contact@graminassoci.org,Karnataka,Bengaluru Urban,Bengaluru Urban Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/734/2010/5835,"Companies Act, 2013",2012-08-02,Women Empowerment,Mangaluru,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_296242
2026-09-16,DARPAN_467506,Gramin Trust India,contact@gramintrusti.org,Tamil Nadu,Madurai,Madurai Taluk,Society,Registrar of Societies,SOC/850/2021/3725,"Societies Registration Act, 1860",2003-07-12,"Healthcare & Medical, Child Welfare",Madurai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_467506
2026-09-16,DARPAN_467506,Gramin Trust India (Salem),contact@gramintrusti.org,Tamil Nadu,Madurai,Madurai Taluk,Society,Registrar of Societies,SOC/850/2021/3725,"Societies Registration Act, 1860",2003-07-12,"Healthcare & Medical, Child Welfare",Salem,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_467506
2026-09-16,DARPAN_467506,Gramin Trust India (Vellore),contact@gramintrusti.org,Tamil Nadu,Madurai,Madurai Taluk,Society,Registrar of Societies,SOC/850/2021/3725,"Societies Registration Act, 1860",2003-07-12,"Healthcare & Medical, Child Welfare",Vellore,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_467506
2026-09-16,DARPAN_995420,Navjeevan Initiative National,contact@navjeevanini.org,Maharashtra,Nashik,Nashik Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/271/2008/4157,"Indian Trusts Act, 1882",2025-11-14,Nutrition & Food Security,Nashik,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_995420
2026-09-16,DARPAN_995420,Navjeevan Initiative National (Thane),contact@navjeevanini.org,Maharashtra,Nashik,Nashik Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/271/2008/4157,"Indian Trusts Act, 1882",2025-11-14,Nutrition & Food Security,Thane,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_995420
2026-09-16,DARPAN_995420,Navjeevan Initiative National (Mumbai),contact@navjeevanini.org,Maharashtra,Nashik,Nashik Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/271/2008/4157,"Indian Trusts Act, 1882",2025-11-14,Nutrition & Food Security,Mumbai,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_995420
2026-09-16,DARPAN_999924,Samarpan Samiti National,contact@samarpansami.org,West Bengal,Darjeeling,Darjeeling Taluk,Society,Registrar of Societies,SOC/375/2021/2462,"Societies Registration Act, 1860",2023-07-24,"Skill Development & Livelihood, Rural Development",Darjeeling,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_999924
2026-09-16,DARPAN_999924,Samarpan Samiti National (Kolkata),contact@samarpansami.org,West Bengal,Darjeeling,Darjeeling Taluk,Society,Registrar of Societies,SOC/375/2021/2462,"Societies Registration Act, 1860",2023-07-24,"Skill Development & Livelihood, Rural Development",Kolkata,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_999924
2026-09-16,DARPAN_999924,Samarpan Samiti National (Rajkot),contact@samarpansami.org,West Bengal,Darjeeling,Darjeeling Taluk,Society,Registrar of Societies,SOC/375/2021/2462,"Societies Registration Act, 1860",2023-07-24,"Skill Development & Livelihood, Rural Development",Rajkot,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_999924
2026-09-16,DARPAN_771712,Sankalp Association Gramin,contact@sankalpassoc.org,West Bengal,Howrah,Howrah Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/629/2010/1930,"Indian Trusts Act, 1882",1999-10-13,"Nutrition & Food Security, Education",Howrah,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_771712
2026-09-16,DARPAN_771712,Sankalp Association Gramin (Darjeeling),,West Bengal,Howrah,Howrah Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/629/2010/1930,"Indian Trusts Act, 1882",1999-10-13,"Nutrition & Food Security, Education",Darjeeling,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_771712
2026-09-16,DARPAN_645561,Manav Initiative Gramin,contact@manavinitiat.org,Kerala,Ernakulam,Ernakulam Taluk,Society,Registrar of Societies,SOC/601/2017/4087,"Societies Registration Act, 1860",2021-07-01,Nutrition & Food Security,Ernakulam,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_645561
2026-09-16,DARPAN_861697,Navjeevan Society India,,Kerala,Thrissur,Thrissur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/794/2023/3969,"Companies Act, 2013",2013-10-01,"Nutrition & Food Security, Child Welfare, Skill Development & Livelihood",Thrissur,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_861697
2026-09-16,DARPAN_861697,Navjeevan Society India (Thiruvananthapuram),contact@navjeevansoc.org,Kerala,Thrissur,Thrissur Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/794/2023/3969,"Companies Act, 2013",2013-10-01,"Nutrition & Food Security, Child Welfare, Skill Development & Livelihood",Thiruvananthapuram,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_861697
2026-09-16,DARPAN_740524,Prerna Samiti India,contact@prernasamiti.org,Kerala,Ernakulam,Ernakulam Taluk,Society,Registrar of Societies,SOC/944/2007/6536,"Societies Registration Act, 1860",2025-11-27,"Healthcare & Medical, Child Welfare",Ernakulam,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_740524
2026-09-16,DARPAN_740524,Prerna Samiti India (Thrissur),,Kerala,Ernakulam,Ernakulam Taluk,Society,Registrar of Societies,SOC/944/2007/6536,"Societies Registration Act, 1860",2025-11-27,"Healthcare & Medical, Child Welfare",Thrissur,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_740524
2026-09-16,DARPAN_740524,Prerna Samiti India (Thiruvananthapuram),contact@prernasamiti.org,Kerala,Ernakulam,Ernakulam Taluk,Society,Registrar of Societies,SOC/944/2007/6536,"Societies Registration Act, 1860",2025-11-27,"Healthcare & Medical, Child Welfare",Thiruvananthapuram,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_740524
2026-09-16,DARPAN_469348,Kalyan Mission Seva,contact@kalyanmissio.org,Gujarat,Vadodara,Vadodara Taluk,Society,Registrar of Societies,SOC/927/1995/9564,"Societies Registration Act, 1860",2025-01-22,Environment & Forests,Vadodara,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_469348
2026-09-16,DARPAN_469348,Kalyan Mission Seva (Ahmedabad),contact@kalyanmissio.org,Gujarat,Vadodara,Vadodara Taluk,Society,Registrar of Societies,SOC/927/1995/9564,"Societies Registration Act, 1860",2025-01-22,Environment & Forests,Ahmedabad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_469348
2026-09-16,DARPAN_469348,Kalyan Mission Seva (Dharwad),contact@kalyanmissio.org,Gujarat,Vadodara,Vadodara Taluk,Society,Registrar of Societies,SOC/927/1995/9564,"Societies Registration Act, 1860",2025-01-22,Environment & Forests,Dharwad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_469348
2026-09-16,DARPAN_408467,Kavach Society India,contact@kavachsociet.org,Karnataka,Mysuru,Mysuru Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/626/2002/7180,"Companies Act, 2013",2025-05-05,Environment & Forests,Mysuru,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_408467
2026-09-16,DARPAN_408467,Kavach Society India (Bengaluru Urban),contact@kavachsociet.org,Karnataka,Mysuru,Mysuru Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/626/2002/7180,"Companies Act, 2013",2025-05-05,Environment & Forests,Bengaluru Urban,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_408467
2026-09-16,DARPAN_323717,Sankalp Network Gramin,contact@sankalpnetwo.org,West Bengal,Howrah,Howrah Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/643/2025/1144,"Companies Act, 2013",2025-04-21,"Water & Sanitation, Disaster Relief & Rehabilitation",Howrah,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_323717
2026-09-16,DARPAN_323717,Sankalp Network Gramin (North 24 Parganas),contact@sankalpnetwo.org,West Bengal,Howrah,Howrah Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/643/2025/1144,"Companies Act, 2013",2025-04-21,"Water & Sanitation, Disaster Relief & Rehabilitation",North 24 Parganas,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_323717
2026-09-16,DARPAN_323717,Sankalp Network Gramin (Darjeeling),contact@sankalpnetwo.org,West Bengal,Howrah,Howrah Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/643/2025/1144,"Companies Act, 2013",2025-04-21,"Water & Sanitation, Disaster Relief & Rehabilitation",Darjeeling,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_323717
2026-09-16,DARPAN_261223,Asha Mission Gramin,contact@ashamissiong.org,Tamil Nadu,Chennai,Chennai Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/155/2006/5127,"Indian Trusts Act, 1882",2015-04-09,"Child Welfare, Women Empowerment",Chennai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_261223
2026-09-16,DARPAN_261223,Asha Mission Gramin (Madurai),contact@ashamissiong.org,Tamil Nadu,Chennai,Chennai Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/155/2006/5127,"Indian Trusts Act, 1882",2015-04-09,"Child Welfare, Women Empowerment",Madurai,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_261223
2026-09-16,DARPAN_240829,Sankalp Mission Seva,contact@sankalpmissi.org,Rajasthan,Udaipur,Udaipur Taluk,Society,Registrar of Societies,SOC/598/2001/3879,"Societies Registration Act, 1860",2020-05-28,"Skill Development & Livelihood, Disaster Relief & Rehabilitation, Environment & Forests",Udaipur,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_240829
2026-09-16,DARPAN_240829,Sankalp Mission Seva (Jaipur),contact@sankalpmissi.org,Rajasthan,Udaipur,Udaipur Taluk,Society,Registrar of Societies,SOC/598/2001/3879,"Societies Registration Act, 1860",2020-05-28,"Skill Development & Livelihood, Disaster Relief & Rehabilitation, Environment & Forests",Jaipur,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_240829
2026-09-16,DARPAN_240829,Sankalp Mission Seva (Kota),contact@sankalpmissi.org,Rajasthan,Udaipur,Udaipur Taluk,Society,Registrar of Societies,SOC/598/2001/3879,"Societies Registration Act, 1860",2020-05-28,"Skill Development & Livelihood, Disaster Relief & Rehabilitation, Environment & Forests",Kota,Maharashtra,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_240829
2026-09-16,DARPAN_701344,Shakti Society National,contact@shaktisociet.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/250/1998/3725,"Companies Act, 2013",2023-07-20,"Education, Environment & Forests, Healthcare & Medical",Ahmedabad,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_701344
2026-09-16,DARPAN_701344,Shakti Society National (Rajkot),contact@shaktisociet.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/250/1998/3725,"Companies Act, 2013",2023-07-20,"Education, Environment & Forests, Healthcare & Medical",Rajkot,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_701344
2026-09-16,DARPAN_701344,Shakti Society National (Surat),contact@shaktisociet.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/250/1998/3725,"Companies Act, 2013",2023-07-20,"Education, Environment & Forests, Healthcare & Medical",Surat,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_701344
2026-09-16,DARPAN_879769,Asha Seva Sanstha India,contact@ashasevasans.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Society,Registrar of Societies,SOC/770/2008/6175,"Societies Registration Act, 1860",2019-07-21,"Environment & Forests, Skill Development & Livelihood",Ahmedabad,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_879769
2026-09-16,DARPAN_879769,Asha Seva Sanstha India (Vadodara),contact@ashasevasans.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Society,Registrar of Societies,SOC/770/2008/6175,"Societies Registration Act, 1860",2019-07-21,"Environment & Forests, Skill Development & Livelihood",Vadodara,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_879769
2026-09-16,DARPAN_879769,Asha Seva Sanstha India (Rajkot),contact@ashasevasans.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Society,Registrar of Societies,SOC/770/2008/6175,"Societies Registration Act, 1860",2019-07-21,"Environment & Forests, Skill Development & Livelihood",Rajkot,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_879769
2026-09-16,DARPAN_690525,Goonj Samiti Gramin,contact@goonjsamitig.org,Rajasthan,Kota,Kota Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/982/1996/8896,"Companies Act, 2013",2025-11-26,"Disaster Relief & Rehabilitation, Rural Development, Women Empowerment",Kota,Rajasthan,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_690525
2026-09-16,DARPAN_690525,Goonj Samiti Gramin (Udaipur),contact@goonjsamitig.org,Rajasthan,Kota,Kota Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/982/1996/8896,"Companies Act, 2013",2025-11-26,"Disaster Relief & Rehabilitation, Rural Development, Women Empowerment",Udaipur,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_690525
2026-09-16,DARPAN_690525,Goonj Samiti Gramin (Jaipur),contact@goonjsamitig.org,Rajasthan,Kota,Kota Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/982/1996/8896,"Companies Act, 2013",2025-11-26,"Disaster Relief & Rehabilitation, Rural Development, Women Empowerment",Jaipur,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_690525
2026-09-16,DARPAN_808640,Goonj Seva Sanstha India,contact@goonjsevasan.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Society,Registrar of Societies,SOC/480/2015/9066,"Societies Registration Act, 1860",1997-10-28,Nutrition & Food Security,Ahmedabad,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_808640
2026-09-16,DARPAN_808640,Goonj Seva Sanstha India (Surat),contact@goonjsevasan.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Society,Registrar of Societies,SOC/480/2015/9066,"Societies Registration Act, 1860",1997-10-28,Nutrition & Food Security,Surat,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_808640
2026-09-16,DARPAN_808640,Goonj Seva Sanstha India (Darjeeling),contact@goonjsevasan.org,Gujarat,Ahmedabad,Ahmedabad Taluk,Society,Registrar of Societies,SOC/480/2015/9066,"Societies Registration Act, 1860",1997-10-28,Nutrition & Food Security,Darjeeling,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_808640
2026-09-16,DARPAN_659713,Punarutthan Network Seva,contact@punarutthann.org,Gujarat,Surat,Surat Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/552/2014/6992,"Indian Trusts Act, 1882",2019-01-01,"Nutrition & Food Security, Rural Development",Surat,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_659713
2026-09-16,DARPAN_659713,Punarutthan Network Seva (Ahmedabad),contact@punarutthann.org,Gujarat,Surat,Surat Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/552/2014/6992,"Indian Trusts Act, 1882",2019-01-01,"Nutrition & Food Security, Rural Development",Ahmedabad,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_659713
2026-09-16,DARPAN_659713,Punarutthan Network Seva (Vadodara),,Gujarat,Surat,Surat Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/552/2014/6992,"Indian Trusts Act, 1882",2019-01-01,"Nutrition & Food Security, Rural Development",Vadodara,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_659713
2026-09-16,DARPAN_362874,Navjeevan Mission Seva,contact@navjeevanmis.org,Gujarat,Vadodara,Vadodara Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/813/2026/4109,"Companies Act, 2013",2015-06-24,"Water & Sanitation, Skill Development & Livelihood",Vadodara,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_362874
2026-09-16,DARPAN_362874,Navjeevan Mission Seva (Surat),contact@navjeevanmis.org,Gujarat,Vadodara,Vadodara Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/813/2026/4109,"Companies Act, 2013",2015-06-24,"Water & Sanitation, Skill Development & Livelihood",Surat,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_362874
2026-09-16,DARPAN_362874,Navjeevan Mission Seva (Rajkot),contact@navjeevanmis.org,Gujarat,Vadodara,Vadodara Taluk,Section 8,Ministry of Corporate Affairs (MCA),SEC/813/2026/4109,"Companies Act, 2013",2015-06-24,"Water & Sanitation, Skill Development & Livelihood",Rajkot,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_362874
2026-09-16,DARPAN_325258,Sankalp Foundation Gramin,,Gujarat,Surat,Surat Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/138/2024/6827,"Indian Trusts Act, 1882",2023-10-08,Environment & Forests,Surat,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_325258
2026-09-16,DARPAN_325258,Sankalp Foundation Gramin (Vadodara),contact@sankalpfound.org,Gujarat,Surat,Surat Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/138/2024/6827,"Indian Trusts Act, 1882",2023-10-08,Environment & Forests,Vadodara,Gujarat,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_325258
2026-09-16,DARPAN_703998,Seva Trust Seva,contact@sevatrustsev.org,Kerala,Kozhikode,Kozhikode Taluk,Society,Registrar of Societies,SOC/295/2015/6644,"Societies Registration Act, 1860",2020-05-06,"Water & Sanitation, Child Welfare, Nutrition & Food Security",Kozhikode,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_703998
2026-09-16,DARPAN_703998,Seva Trust Seva (Ernakulam),contact@sevatrustsev.org,Kerala,Kozhikode,Kozhikode Taluk,Society,Registrar of Societies,SOC/295/2015/6644,"Societies Registration Act, 1860",2020-05-06,"Water & Sanitation, Child Welfare, Nutrition & Food Security",Ernakulam,Kerala,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_703998
2026-09-16,DARPAN_907455,Vikas Seva Sanstha 51,contact@vikassevasan.org,Karnataka,Dharwad,Dharwad Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/670/2002/4016,"Indian Trusts Act, 1882",2021-12-01,"Women Empowerment, Water & Sanitation",Dharwad,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_907455
2026-09-16,DARPAN_907455,Vikas Seva Sanstha 51 (Mysuru),contact@vikassevasan.org,Karnataka,Dharwad,Dharwad Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/670/2002/4016,"Indian Trusts Act, 1882",2021-12-01,"Women Empowerment, Water & Sanitation",Mysuru,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_907455
2026-09-16,DARPAN_907455,Vikas Seva Sanstha 51 (Bengaluru Urban),contact@vikassevasan.org,Karnataka,Dharwad,Dharwad Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/670/2002/4016,"Indian Trusts Act, 1882",2021-12-01,"Women Empowerment, Water & Sanitation",Bengaluru Urban,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_907455
2026-09-16,DARPAN_841635,Sahyog Initiative 52,contact@sahyoginitia.org,Odisha,Cuttack,Cuttack Taluk,Society,Registrar of Societies,SOC/663/2019/1719,"Societies Registration Act, 1860",2012-10-28,"Nutrition & Food Security, Water & Sanitation",Cuttack,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_841635
2026-09-16,DARPAN_841635,Sahyog Initiative 52 (Sundargarh),contact@sahyoginitia.org,Odisha,Cuttack,Cuttack Taluk,Society,Registrar of Societies,SOC/663/2019/1719,"Societies Registration Act, 1860",2012-10-28,"Nutrition & Food Security, Water & Sanitation",Sundargarh,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_841635
2026-09-16,DARPAN_841635,Sahyog Initiative 52 (Belagavi),,Odisha,Cuttack,Cuttack Taluk,Society,Registrar of Societies,SOC/663/2019/1719,"Societies Registration Act, 1860",2012-10-28,"Nutrition & Food Security, Water & Sanitation",Belagavi,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_841635
2026-09-16,DARPAN_904291,Asha Trust 53,contact@ashatrust53.org,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Taluk,Society,Registrar of Societies,SOC/841/1996/3877,"Societies Registration Act, 1860",2021-11-16,"Education, Nutrition & Food Security, Child Welfare",Kanpur Nagar,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_904291
2026-09-16,DARPAN_904291,Asha Trust 53 (Prayagraj),contact@ashatrust53.org,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Taluk,Society,Registrar of Societies,SOC/841/1996/3877,"Societies Registration Act, 1860",2021-11-16,"Education, Nutrition & Food Security, Child Welfare",Prayagraj,Uttar Pradesh,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_904291
2026-09-16,DARPAN_725078,Shakti Mission 54,contact@shaktimissio.org,Odisha,Sundargarh,Sundargarh Taluk,Society,Registrar of Societies,SOC/440/2007/9740,"Societies Registration Act, 1860",2024-08-19,Child Welfare,Sundargarh,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_725078
2026-09-16,DARPAN_725078,Shakti Mission 54 (Puri),contact@shaktimissio.org,Odisha,Sundargarh,Sundargarh Taluk,Society,Registrar of Societies,SOC/440/2007/9740,"Societies Registration Act, 1860",2024-08-19,Child Welfare,Puri,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_725078
2026-09-16,DARPAN_725078,Shakti Mission 54 (Cuttack),contact@shaktimissio.org,Odisha,Sundargarh,Sundargarh Taluk,Society,Registrar of Societies,SOC/440/2007/9740,"Societies Registration Act, 1860",2024-08-19,Child Welfare,Cuttack,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_725078
2026-09-16,DARPAN_961953,Kavach Society 55,contact@kavachsociet.org,West Bengal,Darjeeling,Darjeeling Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/712/2001/7208,"Indian Trusts Act, 1882",2022-01-03,Nutrition & Food Security,Darjeeling,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_961953
2026-09-16,DARPAN_961953,Kavach Society 55 (Howrah),contact@kavachsociet.org,West Bengal,Darjeeling,Darjeeling Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/712/2001/7208,"Indian Trusts Act, 1882",2022-01-03,Nutrition & Food Security,Howrah,Tamil Nadu,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_961953
2026-09-16,DARPAN_961953,Kavach Society 55 (North 24 Parganas),contact@kavachsociet.org,West Bengal,Darjeeling,Darjeeling Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/712/2001/7208,"Indian Trusts Act, 1882",2022-01-03,Nutrition & Food Security,North 24 Parganas,Karnataka,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_961953
2026-09-16,DARPAN_541467,Uday Association 56,contact@udayassociat.org,West Bengal,Howrah,Howrah Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/811/2014/5267,"Indian Trusts Act, 1882",2025-03-19,Environment & Forests,Howrah,West Bengal,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_541467
2026-09-16,DARPAN_541467,Uday Association 56 (North 24 Parganas),contact@udayassociat.org,West Bengal,Howrah,Howrah Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/811/2014/5267,"Indian Trusts Act, 1882",2025-03-19,Environment & Forests,North 24 Parganas,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_541467
2026-09-16,DARPAN_541467,Uday Association 56 (Khordha),contact@udayassociat.org,West Bengal,Howrah,Howrah Taluk,Trust,Sub-Registrar / Charity Commissioner,TRU/811/2014/5267,"Indian Trusts Act, 1882",2025-03-19,Environment & Forests,Khordha,Odisha,https://ngodarpan.gov.in/index.php/home/statewise_ngo/DARPAN_541467
