financial_report_id,ngo_id,financial_year,document_type,document_source,audit_status,auditor_name,total_income,grant_income,donation_income,other_income,fcra_income,nfcra_income,total_expenditure,programme_expenses,administrative_expenses,fundraising_expenses,employee_expenses,consultancy_expenses,material_expenses,other_expenses,cash_and_bank_balance,total_assets,total_liabilities,surplus_or_deficit,related_party_transactions,source_url,verification_status
FIN_NGO_00050_FY2022-23,NGO_00050,FY2022-23,Audited Financial Statement,Public Repository,Unknown,"M/s Deshmukh & Associates, Chartered Accountants",2520597.62,1572158.6,580779.34,367659.68,0.0,2520597.62,2240008.11,1645103.88,312793.61,47118.86,221123.0,4160.63,8321.25,1386.88,624603.15,2740352.22,1096101.26,280589.51,0.0,https://eleos.org/docs/FIN_NGO_00050_FY2022-23.pdf,Extracted
FIN_NGO_00051_FY2025-26,NGO_00051,FY2025-26,Audited Financial Statement,Public Repository,Qualified,"M/s Gupta & Aggarwal, Chartered Accountants",21166760.05,9324153.04,6716498.55,5126108.46,0.0,21166760.05,20616159.12,17614172.46,2747910.48,389690.11,2000012.41,0.0,0.0,-2135626.34,5183248.51,25911322.68,3967631.4,550600.93,0.0,https://eleos.org/docs/FIN_NGO_00051_FY2025-26.pdf,Extracted
FIN_NGO_00051_FY2024-25,NGO_00051,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s Sen & Dasgupta, Chartered Accountants",21090124.6,10122379.31,6734303.0,4233442.29,0.0,21090124.6,19682409.05,14258352.24,1701308.25,775748.13,836690.87,633092.87,1266185.73,211030.96,6031649.57,28152641.88,9085993.67,1407715.55,0.0,https://eleos.org/docs/FIN_NGO_00051_FY2024-25.pdf,Verified
FIN_NGO_00051_FY2023-24,NGO_00051,FY2023-24,Audited Financial Statement,NGO Website,Clean,"M/s Deshmukh & Associates, Chartered Accountants",23268547.83,12989891.05,6555977.26,3722679.52,0.0,23268547.83,21765063.82,18040230.37,1171339.85,669234.49,2171069.08,0.0,0.0,-286809.97,11265271.44,27856305.93,7098845.43,1503484.01,0.0,https://eleos.org/docs/FIN_NGO_00051_FY2023-24.pdf,Verified
FIN_NGO_00052_FY2025-26,NGO_00052,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s Sen & Dasgupta, Chartered Accountants",27206005.83,10054456.1,6018705.19,11132844.54,0.0,27206005.83,27133148.72,21641123.69,1446329.63,995240.14,2475350.57,172531.4,345062.81,57510.48,8118801.74,16132837.18,1850588.22,72857.11,0.0,https://eleos.org/docs/FIN_NGO_00052_FY2025-26.pdf,Verified
FIN_NGO_00052_FY2024-25,NGO_00052,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s K. Mehta & Co., Chartered Accountants",25094193.93,15417116.02,7902287.49,1774790.42,0.0,25094193.93,23348300.79,18281973.22,2348744.45,933310.79,2287610.38,0.0,0.0,-503338.05,3920647.17,15680814.32,3086714.28,1745893.14,0.0,https://eleos.org/docs/FIN_NGO_00052_FY2024-25.pdf,Verified
FIN_NGO_00052_FY2023-24,NGO_00052,FY2023-24,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",24437644.05,13934061.97,5668017.81,4835564.27,0.0,24437644.05,23300083.19,16408343.62,2621626.32,724215.73,1315641.82,669076.71,1338153.41,223025.58,11601455.07,15215143.44,2020429.1,1137560.86,0.0,https://eleos.org/docs/FIN_NGO_00052_FY2023-24.pdf,Verified
FIN_NGO_00053_FY2025-26,NGO_00053,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s Deshmukh & Associates, Chartered Accountants",5842329.37,3379160.4,1494520.79,968648.18,0.0,5842329.37,5398487.12,4249335.65,689999.17,206279.69,459370.29,0.0,0.0,-206497.68,895145.33,6452717.99,1607477.43,443842.25,0.0,https://eleos.org/docs/FIN_NGO_00053_FY2025-26.pdf,Verified
FIN_NGO_00053_FY2024-25,NGO_00053,FY2024-25,Audited Financial Statement,Public Repository,Qualified,"M/s Gupta & Aggarwal, Chartered Accountants",5245303.81,2470156.86,1009950.78,1765196.17,0.0,5245303.81,4634178.02,3806003.68,556106.62,128602.91,439325.78,0.0,0.0,-295860.97,1813500.28,6565892.72,1031262.11,611125.79,0.0,https://eleos.org/docs/FIN_NGO_00053_FY2024-25.pdf,Extracted
FIN_NGO_00053_FY2023-24,NGO_00053,FY2023-24,Audited Financial Statement,NGO Website,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",4887202.38,2350427.56,2120989.69,415785.13,0.0,4887202.38,4441128.82,3098510.21,614672.71,220763.25,315181.57,57600.32,115200.65,19200.11,747336.59,6418206.26,2306979.7,446073.56,0.0,https://eleos.org/docs/FIN_NGO_00053_FY2023-24.pdf,Verified
FIN_NGO_00054_FY2025-26,NGO_00054,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",40495041.79,20744572.95,15842806.83,3907662.01,0.0,40495041.79,38249044.2,26745897.87,3826950.26,844719.63,1692728.26,1541624.46,3083248.91,513874.81,17031074.59,61859048.99,10708254.08,2245997.59,0.0,https://eleos.org/docs/FIN_NGO_00054_FY2025-26.pdf,Verified
FIN_NGO_00055_FY2025-26,NGO_00055,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",901793.32,626294.68,256662.94,18835.7,0.0,901793.32,841905.72,608145.05,95303.7,19132.39,53592.43,19719.64,39439.29,6573.22,286906.76,193806.91,57899.09,59887.6,0.0,https://eleos.org/docs/FIN_NGO_00055_FY2025-26.pdf,Verified
FIN_NGO_00055_FY2024-25,NGO_00055,FY2024-25,Audited Financial Statement,NGO Website,Qualified,"M/s V. Raman & Co., Chartered Accountants",1013253.14,500663.73,302443.69,210145.72,0.0,1013253.14,983640.3,719950.69,126443.23,10292.92,46755.32,24059.44,48118.88,8019.82,218366.12,206859.08,61515.34,29612.84,0.0,https://eleos.org/docs/FIN_NGO_00055_FY2024-25.pdf,Extracted
FIN_NGO_00056_FY2025-26,NGO_00056,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s Deshmukh & Associates, Chartered Accountants",1285762.31,756308.07,469448.26,60005.98,0.0,1285762.31,1250395.39,1038791.68,147232.2,31668.36,80996.7,0.0,0.0,-48293.55,641452.27,1376431.89,376216.3,35366.92,0.0,https://eleos.org/docs/FIN_NGO_00056_FY2025-26.pdf,Verified
FIN_NGO_00057_FY2025-26,NGO_00057,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",2350619.45,903941.4,1014170.64,432507.41,0.0,2350619.45,2129350.01,1592056.49,252854.35,89705.26,167951.1,8034.84,16069.69,2678.28,437416.49,2291202.43,431595.14,221269.44,0.0,https://eleos.org/docs/FIN_NGO_00057_FY2025-26.pdf,Verified
FIN_NGO_00058_FY2025-26,NGO_00058,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s K. Mehta & Co., Chartered Accountants",28192235.13,16264031.49,11428069.51,500134.13,0.0,28192235.13,28593561.3,21290917.26,3184328.14,1009092.54,1831042.68,383454.21,766908.41,127818.06,5585280.05,48368216.08,18780297.59,-401326.17,0.0,https://eleos.org/docs/FIN_NGO_00058_FY2025-26.pdf,Verified
FIN_NGO_00058_FY2024-25,NGO_00058,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",26060482.67,11238535.94,9959993.54,4861953.19,0.0,26060482.67,23322764.4,19921193.62,2553051.31,597160.47,1351139.53,0.0,0.0,-1099780.53,11531271.29,47905895.41,17512682.55,2737718.27,0.0,https://eleos.org/docs/FIN_NGO_00058_FY2024-25.pdf,Verified
FIN_NGO_00059_FY2025-26,NGO_00059,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s V. Raman & Co., Chartered Accountants",222790103.14,140027660.06,60725826.43,22036616.65,0.0,222790103.14,222485179.11,168857133.09,29659676.72,3114506.4,9442701.21,3423348.51,6846697.01,1141116.17,101502355.87,98703916.45,10333223.97,304924.03,0.0,https://eleos.org/docs/FIN_NGO_00059_FY2025-26.pdf,Verified
FIN_NGO_00060_FY2025-26,NGO_00060,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s V. Raman & Co., Chartered Accountants",3966490.77,1840554.08,1260439.85,865496.84,0.0,3966490.77,3901671.82,2887912.27,477813.68,45777.14,333610.42,46967.49,93934.99,15655.83,2389503.5,4654979.19,1562432.62,64818.95,0.0,https://eleos.org/docs/FIN_NGO_00060_FY2025-26.pdf,Verified
FIN_NGO_00060_FY2024-25,NGO_00060,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",4282640.35,2514263.91,1009434.49,758941.95,0.0,4282640.35,3964262.49,2837520.98,439703.03,163165.12,236036.54,86351.05,172702.09,28783.68,789015.36,5214327.07,1882194.22,318377.86,0.0,https://eleos.org/docs/FIN_NGO_00060_FY2024-25.pdf,Verified
FIN_NGO_00060_FY2023-24,NGO_00060,FY2023-24,Audited Financial Statement,NGO Website,Clean,"M/s Gupta & Aggarwal, Chartered Accountants",4413831.38,1640778.88,1582176.17,1190876.33,0.0,4413831.38,4167025.94,2995715.49,436908.58,103923.14,211200.07,125783.6,251567.19,41927.87,1029578.19,4836864.81,875029.28,246805.44,0.0,https://eleos.org/docs/FIN_NGO_00060_FY2023-24.pdf,Verified
FIN_NGO_00060_FY2022-23,NGO_00060,FY2022-23,Audited Financial Statement,Public Repository,Clean,"M/s K. Mehta & Co., Chartered Accountants",3714127.08,1502738.04,1965980.35,245408.69,0.0,3714127.08,3582309.14,2731669.08,234312.1,162838.73,217140.09,70904.74,141809.48,23634.92,1951547.03,5115024.44,1449896.78,131817.94,0.0,https://eleos.org/docs/FIN_NGO_00060_FY2022-23.pdf,Verified
FIN_NGO_00061_FY2025-26,NGO_00061,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s Deshmukh & Associates, Chartered Accountants",11238076.16,5266566.97,4912437.18,1059072.01,0.0,11238076.16,10966711.74,8835330.18,1152876.79,200535.72,817170.95,0.0,0.0,-39201.9,5047183.49,14401306.82,5467787.07,271364.42,0.0,https://eleos.org/docs/FIN_NGO_00061_FY2025-26.pdf,Verified
FIN_NGO_00061_FY2024-25,NGO_00061,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",12807721.25,5051193.86,4054515.83,3702011.56,0.0,12807721.25,11390941.73,9015292.73,944325.05,368515.4,575425.32,146214.97,292429.94,48738.32,5748650.25,14011225.71,5525683.96,1416779.52,0.0,https://eleos.org/docs/FIN_NGO_00061_FY2024-25.pdf,Verified
FIN_NGO_00062_FY2025-26,NGO_00062,FY2025-26,Audited Financial Statement,Public Repository,Qualified,"M/s Gupta & Aggarwal, Chartered Accountants",11906816.01,4872003.42,4139732.64,2895079.95,5270429.51,6636386.5,11759082.7,9125703.54,716529.15,555531.48,487949.16,262010.81,524021.62,87336.94,7336427.34,7505224.73,1101886.93,147733.31,0.0,https://eleos.org/docs/FIN_NGO_00062_FY2025-26.pdf,Extracted
FIN_NGO_00062_FY2024-25,NGO_00062,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s V. Raman & Co., Chartered Accountants",11183608.3,7070059.56,2831991.2,1281557.54,2649935.35,8533672.95,10726561.2,9116737.29,1483076.66,170373.61,798309.89,0.0,0.0,-841936.25,6472840.32,6833622.37,2096173.31,457047.1,0.0,https://eleos.org/docs/FIN_NGO_00062_FY2024-25.pdf,Verified
FIN_NGO_00062_FY2023-24,NGO_00062,FY2023-24,Audited Financial Statement,NGO Website,Clean,"M/s K. Mehta & Co., Chartered Accountants",11900287.49,4721444.29,1918785.6,5260057.6,3989649.9,7910637.59,10797380.32,7770503.87,887171.28,370631.4,643329.39,337723.31,675446.63,112574.44,4461660.25,7302615.43,2410801.74,1102907.17,0.0,https://eleos.org/docs/FIN_NGO_00062_FY2023-24.pdf,Verified
FIN_NGO_00062_FY2022-23,NGO_00062,FY2022-23,Audited Financial Statement,NGO Website,Clean,"M/s Deshmukh & Associates, Chartered Accountants",11666624.27,7217243.4,1985857.83,2463523.04,3541243.46,8125380.81,11750420.65,8401562.6,923561.95,560919.1,896611.96,290329.51,580659.03,96776.5,3883895.14,6426877.6,2288876.04,-83796.38,0.0,https://eleos.org/docs/FIN_NGO_00062_FY2022-23.pdf,Verified
FIN_NGO_00063_FY2025-26,NGO_00063,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s V. Raman & Co., Chartered Accountants",229667397.02,133818418.67,43422763.46,52426214.89,66216139.96,163451257.06,222564840.65,179118169.11,18286971.55,5440939.82,9608858.57,3032970.48,6065940.96,1010990.16,139676837.49,162724329.13,30510686.3,7102556.37,0.0,https://eleos.org/docs/FIN_NGO_00063_FY2025-26.pdf,Verified
FIN_NGO_00063_FY2024-25,NGO_00063,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",251696927.82,106543057.59,47904705.22,97249165.01,94584824.03,157112103.79,232102353.01,180545044.27,29829767.04,8680323.03,20798533.98,0.0,0.0,-7751315.31,114361903.02,185606318.49,23896817.77,19594574.81,0.0,https://eleos.org/docs/FIN_NGO_00063_FY2024-25.pdf,Verified
FIN_NGO_00063_FY2023-24,NGO_00063,FY2023-24,Audited Financial Statement,Public Repository,Qualified,"M/s Sen & Dasgupta, Chartered Accountants",218800592.57,101209956.46,98840056.07,18750580.04,59863481.4,158937111.17,218017351.58,184391080.82,14099753.95,6570021.72,11570741.75,415726.0,831452.0,138575.34,119376135.36,180966777.22,55537952.69,783240.99,0.0,https://eleos.org/docs/FIN_NGO_00063_FY2023-24.pdf,Extracted
FIN_NGO_00064_FY2025-26,NGO_00064,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",3764072.09,1955950.15,1204087.66,604034.28,0.0,3764072.09,3586264.33,2701762.56,425068.61,102696.51,211076.1,43698.16,87396.32,14566.07,1427003.3,6143664.27,1145678.98,177807.76,0.0,https://eleos.org/docs/FIN_NGO_00064_FY2025-26.pdf,Verified
FIN_NGO_00064_FY2024-25,NGO_00064,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s Sen & Dasgupta, Chartered Accountants",3243350.88,1503113.38,1239231.9,501005.6,0.0,3243350.88,2986096.41,2198248.45,411651.65,96022.81,198985.56,24356.38,48712.77,8118.79,1725016.64,5925701.84,716315.12,257254.47,0.0,https://eleos.org/docs/FIN_NGO_00064_FY2024-25.pdf,Verified
FIN_NGO_00064_FY2023-24,NGO_00064,FY2023-24,Audited Financial Statement,Public Repository,Clean,"M/s V. Raman & Co., Chartered Accountants",3088574.62,1096797.13,1493732.22,498045.27,0.0,3088574.62,2769495.51,2218302.72,237271.76,102639.57,197630.49,4095.29,8190.58,1365.1,962138.61,6565504.95,2582024.38,319079.11,0.0,https://eleos.org/docs/FIN_NGO_00064_FY2023-24.pdf,Verified
FIN_NGO_00064_FY2022-23,NGO_00064,FY2022-23,Audited Financial Statement,Public Repository,Clean,"M/s Sen & Dasgupta, Chartered Accountants",2604581.84,1927606.74,487633.39,189341.71,0.0,2604581.84,2556470.19,2012179.66,355757.16,111268.74,121089.08,0.0,0.0,-43824.45,739482.44,6588830.57,1809132.02,48111.65,0.0,https://eleos.org/docs/FIN_NGO_00064_FY2022-23.pdf,Verified
FIN_NGO_00064_FY2021-22,NGO_00064,FY2021-22,Audited Financial Statement,NGO Website,Qualified,"M/s Sen & Dasgupta, Chartered Accountants",3020171.58,1487250.04,1172967.44,359954.1,0.0,3020171.58,2849981.48,2425405.45,395797.13,45300.35,201450.57,0.0,0.0,-217972.02,601616.93,6305546.0,1067191.83,170190.1,0.0,https://eleos.org/docs/FIN_NGO_00064_FY2021-22.pdf,Extracted
FIN_NGO_00065_FY2025-26,NGO_00065,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s Deshmukh & Associates, Chartered Accountants",26935471.7,17685515.76,5522136.57,3727819.37,0.0,26935471.7,26756013.58,18489912.15,2759660.92,659707.07,1276044.69,1071206.62,2142413.25,357068.88,11825716.24,10636853.7,3058583.67,179458.12,0.0,https://eleos.org/docs/FIN_NGO_00065_FY2025-26.pdf,Verified
FIN_NGO_00065_FY2024-25,NGO_00065,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",26081473.33,9717427.48,6953316.32,9410729.53,0.0,26081473.33,26124549.35,18867984.9,2040038.83,980183.96,1178125.85,917464.75,1834929.49,305821.57,5413937.92,9433984.46,2467223.2,-43076.02,0.0,https://eleos.org/docs/FIN_NGO_00065_FY2024-25.pdf,Verified
FIN_NGO_00065_FY2023-24,NGO_00065,FY2023-24,Audited Financial Statement,NGO Website,Clean,"M/s Gupta & Aggarwal, Chartered Accountants",26720411.68,18986560.95,5001427.46,2732423.27,0.0,26720411.68,24974021.97,20110893.75,2570302.14,627085.3,2476071.56,0.0,0.0,-810330.78,10895399.64,10723990.96,1394301.19,1746389.71,0.0,https://eleos.org/docs/FIN_NGO_00065_FY2023-24.pdf,Verified
FIN_NGO_00065_FY2022-23,NGO_00065,FY2022-23,Audited Financial Statement,NGO Website,Clean,"M/s Gupta & Aggarwal, Chartered Accountants",29716426.72,18333698.7,5611401.48,5771326.54,0.0,29716426.72,30203033.71,22166422.08,4145321.0,1069724.04,1573744.7,374346.56,748693.13,124782.2,5667919.15,10808855.84,1775073.88,-486606.99,0.0,https://eleos.org/docs/FIN_NGO_00065_FY2022-23.pdf,Verified
FIN_NGO_00066_FY2025-26,NGO_00066,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",1217113.2,718875.61,456307.62,41929.97,0.0,1217113.2,1086447.43,914901.16,94119.61,39435.03,67149.03,0.0,0.0,-29157.4,675315.16,531936.85,75624.42,130665.77,0.0,https://eleos.org/docs/FIN_NGO_00066_FY2025-26.pdf,Verified
FIN_NGO_00066_FY2024-25,NGO_00066,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s V. Raman & Co., Chartered Accountants",1226734.14,836132.95,380204.39,10396.8,0.0,1226734.14,1100526.21,932894.07,79967.23,21485.65,102430.26,0.0,0.0,-36251.0,608969.16,491722.79,135370.23,126207.93,0.0,https://eleos.org/docs/FIN_NGO_00066_FY2024-25.pdf,Verified
FIN_NGO_00066_FY2023-24,NGO_00066,FY2023-24,Audited Financial Statement,Public Repository,Clean,"M/s V. Raman & Co., Chartered Accountants",1419061.56,620418.47,275429.16,523213.93,0.0,1419061.56,1259884.8,905277.06,94125.06,56085.03,81265.76,36939.57,73879.13,12313.19,525038.07,529430.35,70884.58,159176.76,0.0,https://eleos.org/docs/FIN_NGO_00066_FY2023-24.pdf,Verified
FIN_NGO_00066_FY2022-23,NGO_00066,FY2022-23,Audited Financial Statement,Public Repository,Qualified,"M/s K. Mehta & Co., Chartered Accountants",1655751.84,1161962.63,478320.55,15468.66,0.0,1655751.84,1681172.14,1253044.24,192343.59,18228.9,150098.28,20237.14,40474.28,6745.71,761415.25,543874.19,162437.29,-25420.3,0.0,https://eleos.org/docs/FIN_NGO_00066_FY2022-23.pdf,Extracted
FIN_NGO_00067_FY2025-26,NGO_00067,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",45808015.12,16291435.64,18778995.35,10737584.13,0.0,45808015.12,41750696.29,34202365.7,5575623.39,1242749.61,3742342.33,0.0,0.0,-3012384.74,10503334.64,87744795.17,30186291.54,4057318.83,0.0,https://eleos.org/docs/FIN_NGO_00067_FY2025-26.pdf,Verified
FIN_NGO_00067_FY2024-25,NGO_00067,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s Deshmukh & Associates, Chartered Accountants",39709674.66,27500343.16,9708697.04,2500634.46,0.0,39709674.66,37215643.99,31973349.42,2808554.94,994894.73,3000746.46,0.0,0.0,-1561901.56,8298025.21,77177829.92,13779317.34,2494030.67,0.0,https://eleos.org/docs/FIN_NGO_00067_FY2024-25.pdf,Verified
FIN_NGO_00068_FY2025-26,NGO_00068,FY2025-26,Audited Financial Statement,NGO Website,Clean,"M/s Deshmukh & Associates, Chartered Accountants",2104340.52,1210624.9,698987.45,194728.17,0.0,2104340.52,1905016.63,1368242.59,266360.21,77484.47,76672.24,34877.14,69754.28,11625.7,1162453.72,2665565.52,664880.63,199323.89,0.0,https://eleos.org/docs/FIN_NGO_00068_FY2025-26.pdf,Verified
FIN_NGO_00068_FY2024-25,NGO_00068,FY2024-25,Audited Financial Statement,Public Repository,Qualified,"M/s R. K. Sharma & Associates, Chartered Accountants",2241695.97,1394908.24,537491.22,309296.51,0.0,2241695.97,1998133.13,1571054.01,270966.41,32271.89,180268.84,0.0,0.0,-56428.02,1129643.79,2897731.55,684492.45,243562.84,0.0,https://eleos.org/docs/FIN_NGO_00068_FY2024-25.pdf,Extracted
FIN_NGO_00068_FY2023-24,NGO_00068,FY2023-24,Audited Financial Statement,Public Repository,Clean,"M/s Sen & Dasgupta, Chartered Accountants",2104041.7,773316.96,947380.32,383344.42,0.0,2104041.7,2086335.53,1588866.26,282213.72,96545.46,208611.16,0.0,0.0,-89901.07,447852.99,3012156.96,1025541.22,17706.17,0.0,https://eleos.org/docs/FIN_NGO_00068_FY2023-24.pdf,Verified
FIN_NGO_00068_FY2022-23,NGO_00068,FY2022-23,Audited Financial Statement,Public Repository,Clean,"M/s Sen & Dasgupta, Chartered Accountants",1778884.51,1299937.78,347731.05,131215.68,0.0,1778884.51,1587630.17,1193571.68,104816.89,70841.04,155433.69,18890.06,37780.12,6296.69,914749.51,2618828.83,874290.15,191254.34,0.0,https://eleos.org/docs/FIN_NGO_00068_FY2022-23.pdf,Verified
FIN_NGO_00069_FY2025-26,NGO_00069,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s R. K. Sharma & Associates, Chartered Accountants",3135055.48,1833641.77,848432.49,452981.22,0.0,3135055.48,3141288.83,2515062.77,333425.62,152882.71,175612.07,0.0,0.0,-35694.34,765204.98,4200285.36,1361349.43,-6233.35,0.0,https://eleos.org/docs/FIN_NGO_00069_FY2025-26.pdf,Verified
FIN_NGO_00069_FY2024-25,NGO_00069,FY2024-25,Audited Financial Statement,Public Repository,Clean,"M/s Sen & Dasgupta, Chartered Accountants",3060339.62,1093049.53,1054705.63,912584.46,0.0,3060339.62,2974896.14,2030053.74,324329.39,77953.18,201132.08,102428.33,204856.65,34142.77,1553262.93,4685146.15,894113.27,85443.48,0.0,https://eleos.org/docs/FIN_NGO_00069_FY2024-25.pdf,Verified
FIN_NGO_00069_FY2023-24,NGO_00069,FY2023-24,Audited Financial Statement,Public Repository,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",3251822.41,2036022.4,775341.88,440458.13,0.0,3251822.41,2868835.56,2107097.17,175739.28,41530.7,117141.89,128197.96,256395.91,42732.65,1822457.0,4804473.83,782018.65,382986.85,0.0,https://eleos.org/docs/FIN_NGO_00069_FY2023-24.pdf,Verified
FIN_NGO_00069_FY2022-23,NGO_00069,FY2022-23,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",3652291.8,2532045.31,856129.88,264116.61,0.0,3652291.8,3273564.61,2276753.84,390454.1,87977.6,160044.37,107500.41,215000.82,35833.47,1968092.15,4696684.2,1097050.48,378727.19,0.0,https://eleos.org/docs/FIN_NGO_00069_FY2022-23.pdf,Verified
FIN_NGO_00070_FY2025-26,NGO_00070,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",157636026.03,71429432.2,44936491.69,41270102.14,0.0,157636026.03,142056065.04,105681668.58,7699562.63,2940510.74,13163315.42,3771302.3,7542604.6,1257100.77,70327382.34,97607049.04,29364667.54,15579960.99,0.0,https://eleos.org/docs/FIN_NGO_00070_FY2025-26.pdf,Verified
FIN_NGO_00070_FY2024-25,NGO_00070,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s Deshmukh & Associates, Chartered Accountants",174603223.63,128343643.65,41357990.89,4901589.09,0.0,174603223.63,156140945.13,133569015.89,18791362.2,6922586.31,11957172.22,0.0,0.0,-15099191.49,67333664.17,97449766.6,14628563.49,18462278.5,0.0,https://eleos.org/docs/FIN_NGO_00070_FY2024-25.pdf,Verified
FIN_NGO_00070_FY2023-24,NGO_00070,FY2023-24,Audited Financial Statement,Public Repository,Clean,"M/s V. Raman & Co., Chartered Accountants",153045263.41,71449058.03,48847141.85,32749063.53,0.0,153045263.41,141849245.36,109374476.44,16444536.27,5090078.44,6519058.59,1326328.69,2652657.37,442109.56,31048846.84,104091775.44,24121451.34,11196018.05,0.0,https://eleos.org/docs/FIN_NGO_00070_FY2023-24.pdf,Verified
FIN_NGO_00070_FY2022-23,NGO_00070,FY2022-23,Audited Financial Statement,NGO Website,Clean,"M/s Iyer, Natarajan & Co., Chartered Accountants",171492239.55,92514118.12,40994944.31,37983177.12,0.0,171492239.55,166025350.99,118015322.62,12276147.99,4416331.5,13765491.35,5265617.26,10531234.52,1755205.75,45279370.11,102235364.02,26468232.97,5466888.56,0.0,https://eleos.org/docs/FIN_NGO_00070_FY2022-23.pdf,Verified
FIN_NGO_00070_FY2021-22,NGO_00070,FY2021-22,Audited Financial Statement,NGO Website,Clean,"M/s K. Mehta & Co., Chartered Accountants",166146378.98,85353337.16,50552988.26,30240053.56,0.0,166146378.98,149595176.24,124677150.56,18178007.15,1674047.37,9230989.08,0.0,0.0,-4165017.92,23183416.21,103267614.71,39561085.05,16551202.74,0.0,https://eleos.org/docs/FIN_NGO_00070_FY2021-22.pdf,Verified
FIN_NGO_00071_FY2025-26,NGO_00071,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s Sen & Dasgupta, Chartered Accountants",769755.82,517395.24,250854.72,1505.86,0.0,769755.82,741564.94,579761.03,96767.18,23234.38,57593.39,0.0,0.0,-15791.04,241133.61,586885.87,196863.11,28190.88,0.0,https://eleos.org/docs/FIN_NGO_00071_FY2025-26.pdf,Verified
FIN_NGO_00071_FY2024-25,NGO_00071,FY2024-25,Audited Financial Statement,NGO Website,Clean,"M/s V. Raman & Co., Chartered Accountants",735855.51,474630.43,126251.47,134973.61,0.0,735855.51,662650.73,512203.39,44616.26,18668.45,57460.41,8910.67,17821.33,2970.22,240440.21,602527.55,76927.45,73204.78,0.0,https://eleos.org/docs/FIN_NGO_00071_FY2024-25.pdf,Verified
FIN_NGO_00071_FY2023-24,NGO_00071,FY2023-24,Audited Financial Statement,Public Repository,Clean,"M/s K. Mehta & Co., Chartered Accountants",721593.95,359150.07,242015.79,120428.09,0.0,721593.95,685395.78,538640.96,66281.23,14083.34,43650.77,6821.84,13643.69,2273.95,247915.26,605965.43,229849.16,36198.17,0.0,https://eleos.org/docs/FIN_NGO_00071_FY2023-24.pdf,Verified
FIN_NGO_00072_FY2025-26,NGO_00072,FY2025-26,Audited Financial Statement,Public Repository,Clean,"M/s Gupta & Aggarwal, Chartered Accountants",27714373.76,17858175.71,7838261.48,2017936.57,0.0,27714373.76,27133365.16,22680010.52,3083673.75,1135432.33,2016543.22,0.0,0.0,-1782294.66,11681515.45,24027172.44,6434617.27,581008.6,0.0,https://eleos.org/docs/FIN_NGO_00072_FY2025-26.pdf,Verified
