project_id,ngo_id,project_name,project_status,project_description,primary_sector,secondary_sectors,funder_name,location_states,location_districts,start_date,end_date,duration_months,beneficiaries_reported,villages_covered,milestones_reported,milestones_completed,outcomes_reported,partnerships_reported,source_url,source_type,verification_status
PRJ_NGO_00033_3,NGO_00033,Skill Development & Livelihood Initiative #3 (Darjeeling),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,"[""Rural Development""]",Public Donations,"[""West Bengal""]","[""Darjeeling""]",2023-10-01,2024-12-24,15,1085,17,3,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00033_3,Annual Report,Self-reported
PRJ_NGO_00034_1,NGO_00034,Nutrition & Food Security Initiative #1 (Howrah),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Education""]",District Development Fund,"[""West Bengal""]","[""Howrah""]",2025-11-01,2026-11-26,13,3020,11,4,2,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00034_1,Annual Report,Self-reported
PRJ_NGO_00034_2,NGO_00034,Nutrition & Food Security Initiative #2 (Howrah),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Education""]",District Development Fund,"[""West Bengal""]","[""Howrah""]",2024-10-01,2025-12-25,15,734,3,5,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00034_2,Annual Report,Self-reported
PRJ_NGO_00035_1,NGO_00035,Nutrition & Food Security Initiative #1 (Ernakulam),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],CSR India Grant,"[""Kerala""]","[""Ernakulam""]",2024-02-01,2024-12-27,11,2580,13,5,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00035_1,Annual Report,Self-reported
PRJ_NGO_00035_2,NGO_00035,Nutrition & Food Security Initiative #2 (Ernakulam),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],CSR India Grant,"[""Kerala""]","[""Ernakulam""]",2023-02-01,2023-08-30,7,1333,7,5,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00035_2,Annual Report,Self-reported
PRJ_NGO_00035_3,NGO_00035,Nutrition & Food Security Initiative #3 (Ernakulam),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],CSR India Grant,"[""Kerala""]","[""Ernakulam""]",2022-10-01,2023-11-25,14,3252,12,4,2,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00035_3,Annual Report,Self-reported
PRJ_NGO_00035_4,NGO_00035,Nutrition & Food Security Initiative #4 (Ernakulam),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],State Grant,"[""Kerala""]","[""Ernakulam""]",2021-08-01,2022-09-25,14,4117,15,4,2,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00035_4,Annual Report,Self-reported
PRJ_NGO_00036_1,NGO_00036,Nutrition & Food Security Initiative #1 (Thrissur),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Child Welfare"", ""Skill Development & Livelihood""]",,"[""Kerala""]","[""Thrissur""]",2024-06-01,2026-04-22,23,4075,13,6,2,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00036_1,Annual Report,Self-reported
PRJ_NGO_00036_2,NGO_00036,Nutrition & Food Security Initiative #2 (Thrissur),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Child Welfare"", ""Skill Development & Livelihood""]",CSR India Grant,"[""Kerala""]","[""Thrissur""]",2023-11-01,2024-11-25,13,2996,13,5,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00036_2,Annual Report,Self-reported
PRJ_NGO_00036_3,NGO_00036,Nutrition & Food Security Initiative #3 (Thrissur),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Child Welfare"", ""Skill Development & Livelihood""]",CSR India Grant,"[""Kerala""]","[""Thrissur""]",2022-12-01,2023-08-28,9,1544,17,4,5,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00036_3,Annual Report,Self-reported
PRJ_NGO_00037_1,NGO_00037,Healthcare & Medical Initiative #1 (Ernakulam),Ongoing,Community-based healthcare & medical support project serving rural/urban clusters.,Healthcare & Medical,"[""Child Welfare""]",Public Donations,"[""Kerala""]","[""Ernakulam""]",2025-12-01,,15,1286,7,5,3,,[],https://eleos.org/projects/PRJ_NGO_00037_1,Annual Report,Self-reported
PRJ_NGO_00038_1,NGO_00038,Environment & Forests Initiative #1 (Vadodara),Ongoing,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,[],District Development Fund,"[""Gujarat""]","[""Vadodara""]",2025-10-01,,20,3212,20,4,3,,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00038_1,Annual Report,Self-reported
PRJ_NGO_00041_1,NGO_00041,Child Welfare Initiative #1 (Chennai),Ongoing,Community-based child welfare support project serving rural/urban clusters.,Child Welfare,"[""Women Empowerment""]",State Grant,"[""Tamil Nadu""]","[""Chennai""]",2024-12-01,,24,2910,13,4,3,,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00041_1,Annual Report,Self-reported
PRJ_NGO_00041_2,NGO_00041,Child Welfare Initiative #2 (Chennai),Completed,Community-based child welfare support project serving rural/urban clusters.,Child Welfare,"[""Women Empowerment""]",,"[""Tamil Nadu""]","[""Chennai""]",2023-02-01,2024-04-26,15,771,8,5,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00041_2,Annual Report,Self-reported
PRJ_NGO_00041_3,NGO_00041,Child Welfare Initiative #3 (Chennai),Completed,Community-based child welfare support project serving rural/urban clusters.,Child Welfare,"[""Women Empowerment""]",,"[""Tamil Nadu""]","[""Chennai""]",2022-10-01,2023-12-25,15,1448,20,5,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00041_3,Annual Report,Self-reported
PRJ_NGO_00041_4,NGO_00041,Child Welfare Initiative #4 (Chennai),Completed,Community-based child welfare support project serving rural/urban clusters.,Child Welfare,"[""Women Empowerment""]",Public Donations,"[""Tamil Nadu""]","[""Chennai""]",2021-03-01,2021-08-28,6,2216,9,6,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00041_4,Annual Report,Self-reported
PRJ_NGO_00042_1,NGO_00042,Skill Development & Livelihood Initiative #1 (Udaipur),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,"[""Disaster Relief & Rehabilitation"", ""Environment & Forests""]",,"[""Rajasthan""]","[""Udaipur""]",2024-04-01,2024-11-27,8,2500,8,4,3,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00042_1,Annual Report,Self-reported
PRJ_NGO_00042_2,NGO_00042,Skill Development & Livelihood Initiative #2 (Udaipur),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,"[""Disaster Relief & Rehabilitation"", ""Environment & Forests""]",District Development Fund,"[""Rajasthan""]","[""Udaipur""]",2023-10-01,2024-06-27,9,3596,12,3,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00042_2,Annual Report,Self-reported
PRJ_NGO_00042_3,NGO_00042,Skill Development & Livelihood Initiative #3 (Udaipur),Completed,Community-based skill development & livelihood support project serving rural/urban clusters.,Skill Development & Livelihood,"[""Disaster Relief & Rehabilitation"", ""Environment & Forests""]",,"[""Rajasthan""]","[""Udaipur""]",2022-08-01,2023-07-27,12,1520,15,3,3,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00042_3,Annual Report,Self-reported
PRJ_NGO_00043_1,NGO_00043,Education Initiative #1 (Ahmedabad),Completed,Community-based education support project serving rural/urban clusters.,Education,"[""Environment & Forests"", ""Healthcare & Medical""]",Public Donations,"[""Gujarat""]","[""Ahmedabad""]",2024-09-01,2026-03-25,19,555,18,6,3,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00043_1,Annual Report,Self-reported
PRJ_NGO_00043_2,NGO_00043,Education Initiative #2 (Ahmedabad),Completed,Community-based education support project serving rural/urban clusters.,Education,"[""Environment & Forests"", ""Healthcare & Medical""]",Public Donations,"[""Gujarat""]","[""Ahmedabad""]",2023-08-01,2025-01-22,18,4919,5,6,3,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00043_2,Annual Report,Self-reported
PRJ_NGO_00043_3,NGO_00043,Education Initiative #3 (Ahmedabad),Completed,Community-based education support project serving rural/urban clusters.,Education,"[""Environment & Forests"", ""Healthcare & Medical""]",Public Donations,"[""Gujarat""]","[""Ahmedabad""]",2023-04-01,2023-11-27,8,4654,15,5,3,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00043_3,Annual Report,Self-reported
PRJ_NGO_00044_1,NGO_00044,Environment & Forests Initiative #1 (Ahmedabad),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Skill Development & Livelihood""]",CSR India Grant,"[""Gujarat""]","[""Ahmedabad""]",2024-04-01,2025-02-25,11,3146,9,3,3,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00044_1,Annual Report,Self-reported
PRJ_NGO_00044_2,NGO_00044,Environment & Forests Initiative #2 (Ahmedabad),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Skill Development & Livelihood""]",Public Donations,"[""Gujarat""]","[""Ahmedabad""]",2023-05-01,2024-10-22,18,3437,14,4,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00044_2,Annual Report,Self-reported
PRJ_NGO_00044_3,NGO_00044,Environment & Forests Initiative #3 (Ahmedabad),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Skill Development & Livelihood""]",CSR India Grant,"[""Gujarat""]","[""Ahmedabad""]",2022-12-01,2023-07-29,8,4702,11,5,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00044_3,Annual Report,Self-reported
PRJ_NGO_00044_4,NGO_00044,Environment & Forests Initiative #4 (Ahmedabad),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Skill Development & Livelihood""]",,"[""Gujarat""]","[""Ahmedabad""]",2021-05-01,2022-05-26,13,1793,16,6,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00044_4,Annual Report,Self-reported
PRJ_NGO_00044_5,NGO_00044,Environment & Forests Initiative #5 (Ahmedabad),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Skill Development & Livelihood""]",,"[""Gujarat""]","[""Ahmedabad""]",2020-03-01,2021-09-22,19,1072,19,3,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00044_5,Annual Report,Self-reported
PRJ_NGO_00044_6,NGO_00044,Environment & Forests Initiative #6 (Ahmedabad),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,"[""Skill Development & Livelihood""]",Public Donations,"[""Gujarat""]","[""Ahmedabad""]",2019-02-01,2020-11-22,22,4606,20,5,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00044_6,Annual Report,Self-reported
PRJ_NGO_00046_1,NGO_00046,Nutrition & Food Security Initiative #1 (Ahmedabad),Ongoing,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],Public Donations,"[""Gujarat""]","[""Ahmedabad""]",2024-05-01,,18,3844,13,6,2,,[],https://eleos.org/projects/PRJ_NGO_00046_1,Annual Report,Self-reported
PRJ_NGO_00046_2,NGO_00046,Nutrition & Food Security Initiative #2 (Ahmedabad),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],District Development Fund,"[""Gujarat""]","[""Ahmedabad""]",2023-01-01,2023-10-28,10,2261,4,4,3,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00046_2,Annual Report,Self-reported
PRJ_NGO_00046_3,NGO_00046,Nutrition & Food Security Initiative #3 (Ahmedabad),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],State Grant,"[""Gujarat""]","[""Ahmedabad""]",2022-02-01,2022-09-29,8,4692,3,3,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00046_3,Annual Report,Self-reported
PRJ_NGO_00046_4,NGO_00046,Nutrition & Food Security Initiative #4 (Ahmedabad),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],Public Donations,"[""Gujarat""]","[""Ahmedabad""]",2021-02-01,2021-10-29,9,1472,4,6,4,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00046_4,Annual Report,Self-reported
PRJ_NGO_00046_5,NGO_00046,Nutrition & Food Security Initiative #5 (Ahmedabad),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],State Grant,"[""Gujarat""]","[""Ahmedabad""]",2020-12-01,2022-02-24,15,1235,6,4,2,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00046_5,Annual Report,Self-reported
PRJ_NGO_00046_6,NGO_00046,Nutrition & Food Security Initiative #6 (Ahmedabad),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],State Grant,"[""Gujarat""]","[""Ahmedabad""]",2019-06-01,2020-09-23,16,4027,19,5,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00046_6,Annual Report,Self-reported
PRJ_NGO_00046_7,NGO_00046,Nutrition & Food Security Initiative #7 (Ahmedabad),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,[],District Development Fund,"[""Gujarat""]","[""Ahmedabad""]",2018-12-01,2020-10-21,23,3940,20,6,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00046_7,Annual Report,Self-reported
PRJ_NGO_00047_1,NGO_00047,Nutrition & Food Security Initiative #1 (Surat),Ongoing,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Rural Development""]",District Development Fund,"[""Gujarat""]","[""Surat""]",2024-08-01,,15,3152,3,4,1,,[],https://eleos.org/projects/PRJ_NGO_00047_1,Annual Report,Self-reported
PRJ_NGO_00047_2,NGO_00047,Nutrition & Food Security Initiative #2 (Surat),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Rural Development""]",CSR India Grant,"[""Gujarat""]","[""Surat""]",2023-07-01,2024-10-23,16,1571,10,3,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00047_2,Annual Report,Self-reported
PRJ_NGO_00047_3,NGO_00047,Nutrition & Food Security Initiative #3 (Surat),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Rural Development""]",,"[""Gujarat""]","[""Surat""]",2022-01-01,2022-07-30,7,4093,6,5,2,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00047_3,Annual Report,Self-reported
PRJ_NGO_00047_4,NGO_00047,Nutrition & Food Security Initiative #4 (Surat),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Rural Development""]",,"[""Gujarat""]","[""Surat""]",2021-08-01,2022-03-29,8,2972,3,3,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00047_4,Annual Report,Self-reported
PRJ_NGO_00047_5,NGO_00047,Nutrition & Food Security Initiative #5 (Surat),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Rural Development""]",CSR India Grant,"[""Gujarat""]","[""Surat""]",2020-12-01,2022-10-22,23,1230,17,4,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00047_5,Annual Report,Self-reported
PRJ_NGO_00047_6,NGO_00047,Nutrition & Food Security Initiative #6 (Surat),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Rural Development""]",State Grant,"[""Gujarat""]","[""Surat""]",2019-11-01,2021-03-25,17,1780,2,6,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00047_6,Annual Report,Self-reported
PRJ_NGO_00048_1,NGO_00048,Water & Sanitation Initiative #1 (Vadodara),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Skill Development & Livelihood""]",,"[""Gujarat""]","[""Vadodara""]",2024-03-01,2025-01-25,11,3489,18,5,3,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00048_1,Annual Report,Self-reported
PRJ_NGO_00048_2,NGO_00048,Water & Sanitation Initiative #2 (Vadodara),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Skill Development & Livelihood""]",Public Donations,"[""Gujarat""]","[""Vadodara""]",2023-10-01,2025-05-23,20,2781,19,5,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00048_2,Annual Report,Self-reported
PRJ_NGO_00048_3,NGO_00048,Water & Sanitation Initiative #3 (Vadodara),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Skill Development & Livelihood""]",Public Donations,"[""Gujarat""]","[""Vadodara""]",2022-11-01,2024-05-24,19,2171,20,4,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00048_3,Annual Report,Self-reported
PRJ_NGO_00048_4,NGO_00048,Water & Sanitation Initiative #4 (Vadodara),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Skill Development & Livelihood""]",Public Donations,"[""Gujarat""]","[""Vadodara""]",2021-12-01,2023-01-25,14,3906,16,6,2,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00048_4,Annual Report,Self-reported
PRJ_NGO_00048_5,NGO_00048,Water & Sanitation Initiative #5 (Vadodara),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Skill Development & Livelihood""]",,"[""Gujarat""]","[""Vadodara""]",2020-05-01,2020-10-28,6,1306,11,3,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00048_5,Annual Report,Self-reported
PRJ_NGO_00049_1,NGO_00049,Environment & Forests Initiative #1 (Surat),Ongoing,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,[],CSR India Grant,"[""Gujarat""]","[""Surat""]",2024-07-01,,14,3464,18,6,3,,[],https://eleos.org/projects/PRJ_NGO_00049_1,Annual Report,Self-reported
PRJ_NGO_00049_2,NGO_00049,Environment & Forests Initiative #2 (Surat),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,[],,"[""Gujarat""]","[""Surat""]",2023-03-01,2024-11-20,21,1822,17,6,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00049_2,Annual Report,Self-reported
PRJ_NGO_00049_3,NGO_00049,Environment & Forests Initiative #3 (Surat),Completed,Community-based environment & forests support project serving rural/urban clusters.,Environment & Forests,[],District Development Fund,"[""Gujarat""]","[""Surat""]",2023-10-01,2025-07-22,22,2185,4,5,5,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00049_3,Annual Report,Self-reported
PRJ_NGO_00050_1,NGO_00050,Water & Sanitation Initiative #1 (Kozhikode),Ongoing,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Nutrition & Food Security""]",CSR India Grant,"[""Kerala""]","[""Kozhikode""]",2024-07-01,,10,3331,18,4,2,,[],https://eleos.org/projects/PRJ_NGO_00050_1,Annual Report,Self-reported
PRJ_NGO_00050_2,NGO_00050,Water & Sanitation Initiative #2 (Kozhikode),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Nutrition & Food Security""]",Public Donations,"[""Kerala""]","[""Kozhikode""]",2023-03-01,2024-09-21,19,2897,16,4,3,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00050_2,Annual Report,Self-reported
PRJ_NGO_00050_3,NGO_00050,Water & Sanitation Initiative #3 (Kozhikode),Completed,Community-based water & sanitation support project serving rural/urban clusters.,Water & Sanitation,"[""Child Welfare"", ""Nutrition & Food Security""]",District Development Fund,"[""Kerala""]","[""Kozhikode""]",2022-10-01,2024-08-21,23,1331,11,4,5,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00050_3,Annual Report,Self-reported
PRJ_NGO_00051_1,NGO_00051,Women Empowerment Initiative #1 (Dharwad),Completed,Community-based women empowerment support project serving rural/urban clusters.,Women Empowerment,"[""Water & Sanitation""]",State Grant,"[""Karnataka""]","[""Dharwad""]",2024-05-01,2025-07-25,15,1563,15,5,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00051_1,Annual Report,Self-reported
PRJ_NGO_00051_2,NGO_00051,Women Empowerment Initiative #2 (Dharwad),Completed,Community-based women empowerment support project serving rural/urban clusters.,Women Empowerment,"[""Water & Sanitation""]",District Development Fund,"[""Karnataka""]","[""Dharwad""]",2023-12-01,2025-09-21,22,3997,16,3,6,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00051_2,Annual Report,Self-reported
PRJ_NGO_00051_3,NGO_00051,Women Empowerment Initiative #3 (Dharwad),Completed,Community-based women empowerment support project serving rural/urban clusters.,Women Empowerment,"[""Water & Sanitation""]",District Development Fund,"[""Karnataka""]","[""Dharwad""]",2022-10-01,2024-08-21,23,3420,15,5,5,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00051_3,Annual Report,Self-reported
PRJ_NGO_00051_4,NGO_00051,Women Empowerment Initiative #4 (Dharwad),Completed,Community-based women empowerment support project serving rural/urban clusters.,Women Empowerment,"[""Water & Sanitation""]",District Development Fund,"[""Karnataka""]","[""Dharwad""]",2021-08-01,2023-07-22,24,3924,4,5,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00051_4,Annual Report,Self-reported
PRJ_NGO_00051_5,NGO_00051,Women Empowerment Initiative #5 (Dharwad),Completed,Community-based women empowerment support project serving rural/urban clusters.,Women Empowerment,"[""Water & Sanitation""]",CSR India Grant,"[""Karnataka""]","[""Dharwad""]",2021-12-01,2022-10-27,11,947,5,6,4,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00051_5,Annual Report,Self-reported
PRJ_NGO_00052_1,NGO_00052,Nutrition & Food Security Initiative #1 (Cuttack),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Water & Sanitation""]",State Grant,"[""Odisha""]","[""Cuttack""]",2025-10-01,2026-12-25,15,2792,10,5,3,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00052_1,Annual Report,Self-reported
PRJ_NGO_00052_2,NGO_00052,Nutrition & Food Security Initiative #2 (Cuttack),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Water & Sanitation""]",State Grant,"[""Odisha""]","[""Cuttack""]",2024-08-01,2026-05-23,22,4234,7,4,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00052_2,Annual Report,Self-reported
PRJ_NGO_00052_3,NGO_00052,Nutrition & Food Security Initiative #3 (Cuttack),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Water & Sanitation""]",CSR India Grant,"[""Odisha""]","[""Cuttack""]",2023-01-01,2023-09-28,9,4008,5,4,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00052_3,Annual Report,Self-reported
PRJ_NGO_00052_4,NGO_00052,Nutrition & Food Security Initiative #4 (Cuttack),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Water & Sanitation""]",Public Donations,"[""Odisha""]","[""Cuttack""]",2022-07-01,2023-01-27,7,3064,19,4,2,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00052_4,Annual Report,Self-reported
PRJ_NGO_00052_5,NGO_00052,Nutrition & Food Security Initiative #5 (Cuttack),Completed,Community-based nutrition & food security support project serving rural/urban clusters.,Nutrition & Food Security,"[""Water & Sanitation""]",Public Donations,"[""Odisha""]","[""Cuttack""]",2021-12-01,2023-02-24,15,755,11,5,6,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00052_5,Annual Report,Self-reported
PRJ_NGO_00053_1,NGO_00053,Education Initiative #1 (Kanpur Nagar),Completed,Community-based education support project serving rural/urban clusters.,Education,"[""Nutrition & Food Security"", ""Child Welfare""]",State Grant,"[""Uttar Pradesh""]","[""Kanpur Nagar""]",2024-02-01,2025-05-26,16,577,5,5,2,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00053_1,Annual Report,Self-reported
PRJ_NGO_00053_2,NGO_00053,Education Initiative #2 (Kanpur Nagar),Completed,Community-based education support project serving rural/urban clusters.,Education,"[""Nutrition & Food Security"", ""Child Welfare""]",Public Donations,"[""Uttar Pradesh""]","[""Kanpur Nagar""]",2023-05-01,2024-04-25,12,1842,8,5,4,Successfully completed primary community training and material deployment.,"[""District Administration"", ""Local Panchayat""]",https://eleos.org/projects/PRJ_NGO_00053_2,Annual Report,Self-reported
PRJ_NGO_00053_3,NGO_00053,Education Initiative #3 (Kanpur Nagar),Completed,Community-based education support project serving rural/urban clusters.,Education,"[""Nutrition & Food Security"", ""Child Welfare""]",Public Donations,"[""Uttar Pradesh""]","[""Kanpur Nagar""]",2022-08-01,2023-04-28,9,1423,7,5,2,Successfully completed primary community training and material deployment.,[],https://eleos.org/projects/PRJ_NGO_00053_3,Annual Report,Self-reported
